Movie Name,Star 1,Star 2,Star 3,Star 4,Votes,Genre 1,Genre 2,Genre 3,Gross Collection,Certification
 The Count of Monte Cristo , Jim Caviezel, Guy Pearce, Christopher Adamson, JB Blanc,142874,Action, Adventure, Drama, $54.23M,UA
 The French Connection , Gene Hackman, Roy Scheider, Fernando Rey, Tony Lo Bianco,127849,Action, Crime, Drama, $15.63M,A
 First Blood , Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney,262706,Action, Adventure, Thriller, $47.21M,A
 The Magnificent Seven , Yul Brynner, Steve McQueen, Charles Bronson, Eli Wallach,98416,Action, Adventure, Drama, $4.91M,N/A
 The Boondock Saints , Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco,243617,Action, Thriller,N/A, $0.03M,A
 The Bourne Supremacy , Matt Damon, Franka Potente, Joan Allen, Brian Cox,474020,Action, Mystery, Thriller, $176.24M,A
 The Dirty Dozen , Lee Marvin, Ernest Borgnine, Charles Bronson, John Cassavetes,76245,Action, Adventure, War, $45.30M,U
 Star Trek Into Darkness , Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch,489622,Action, Adventure, Sci-Fi, $228.78M,UA
 Dirty Harry , Clint Eastwood, Andrew Robinson, Harry Guardino, Reni Santoni,162012,Action, Crime, Thriller, $35.90M,A
 Kung Fu Hustle , Stephen Chow, Wah Yuen, Qiu Yuen, Siu-Lung Leung,144762,Action, Comedy, Fantasy, $17.11M,UA
 Star Trek II: The Wrath of Khan , William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan,125354,Action, Adventure, Sci-Fi, $78.91M,U
 Goldfinger , Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton,195904,Action, Adventure, Thriller, $51.08M,A
 Bonnie and Clyde , Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman,116663,Action, Biography, Crime,N/A,A
 Ponniyin Selvan: Part I , Vikram, Aishwarya Rai Bachchan, Jayam Ravi, Karthi,33924,Action, Adventure, Drama,N/A,UA
 Badlands , Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri,75417,Action, Crime, Drama,N/A,N/A
 Run Lola Run , Franka Potente, Moritz Bleibtreu, Herbert Knaup, Nina Petri,202491,Action, Crime, Thriller, $7.27M,UA
 The Man from Nowhere , Won Bin, Kim Sae-ron, Kim Tae-hoon, Kim Hee-won,72071,Action, Crime, Drama, $0.01M,7
 Kubo and the Two Strings , Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes,133849,Animation, Action, Adventure, $48.02M,U
 Scarface , Paul Muni, Ann Dvorak, Karen Morley, Osgood Perkins,29134,Action, Crime, Drama,N/A,N/A
 Hard Boiled , Chow Yun-Fat, Tony Leung Chiu-wai, Teresa Mo, Philip Chan,52196,Action, Crime, Thriller,N/A,A
 Key Largo , Humphrey Bogart, Edward G. Robinson, Lauren Bacall, Lionel Barrymore,42602,Action, Crime, Drama,N/A,N/A
 Joint Security Area , Lee Yeong-ae, Lee Byung-hun, Song Kang-ho, Kim Tae-woo,32245,Action, Drama, Thriller,N/A,N/A
 Dragon Ball Super: Broly , Masako Nozawa, Aya Hisakawa, Ryô Horikawa, Toshio Furukawa,29533,Animation, Action, Adventure, $30.71M,UA
 Eega , Sudeep, Nani, Samantha Ruth Prabhu, Hamsa Nandini,25982,Action, Comedy, Drama,N/A,UA
 Udta Punjab , Shahid Kapoor, Alia Bhatt, Kareena Kapoor, Diljit Dosanjh,31427,Action, Crime, Drama,N/A,A
 Raazi , Alia Bhatt, Vicky Kaushal, Rajit Kapoor, Shishir Sharma,32346,Action, Drama, Thriller,N/A,UA
 Guardians of the Galaxy Vol, Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel,718229,Action, Adventure, Comedy, $389.81M,UA
 The Fifth Element , Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm,486784,Action, Adventure, Sci-Fi, $63.54M,UA
300, Gerard Butler, Lena Headey, David Wenham, Dominic West,837427,Action, Drama,N/A, $210.61M,A
 Sicario , Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal,447072,Action, Crime, Drama, $46.89M,A
 Kick-Ass , Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown,575753,Action, Comedy, Crime, $48.07M,UA
 Deadpool 2 , Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison,606669,Action, Adventure, Comedy, $324.59M,R
 Harry Potter and the Half-Blood Prince , Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon,565272,Action, Adventure, Family, $301.96M,UA
 Baby Driver , Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González,568099,Action, Crime, Drama, $107.83M,UA
 Watchmen , Jackie Earle Haley, Patrick Wilson, Carla Gugino, Malin Akerman,563362,Action, Drama, Mystery, $107.51M,A
 RoboCop , Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox,267977,Action, Crime, Sci-Fi, $53.42M,UA
